word,category,inkColour,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instrText.started,instr_key.started,Instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,Welcome.started,text_2.started,Welcome.stopped,ColourNaming.started,fixation.started,fixation.stopped,text.started,key_resp.started,ColourNaming.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,text_3.started,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.009520459003397264,0.029255166999064386,0.029255166999064386,20.62287700000161,space,20.25410004099831,None,,,,,,,,,,,,,,,,,05,001,2025-11-15_17h51.57.697,The Self-Relevance Effect on Selective Attention task,,2025.1.1,121.00268976782529,2025-11-15 17h52.05.118218 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,20.622948208998423,20.639352333993884,21.630942959003733,,,,,,,,,,,,,,05,001,2025-11-15_17h51.57.697,The Self-Relevance Effect on Selective Attention task,,2025.1.1,121.00268976782529,2025-11-15 17h52.05.118218 +0530,
Her,other,blue,b,0,0,0,b,1,0.4032457489956869,None,0,0,0,30,21.7020609589963,,,,,,,,,,,,21.672740084002726,21.7020609589963,22.13221529200382,22.13221529200382,22.13221529200382,22.538557666994166,b,1,0.4032457489956869,None,,,,05,001,2025-11-15_17h51.57.697,The Self-Relevance Effect on Selective Attention task,,2025.1.1,121.00268976782529,2025-11-15 17h52.05.118218 +0530,
Selfhood,self ,yellow,y,1,1,0,y,1,0.5678539579967037,None,0,1,1,15,22.553004542001872,,,,,,,,,,,,22.54304108399083,22.553004542001872,23.03972604199953,23.03972604199953,23.03972604199953,23.615857041993877,y,1,0.5678539579967037,None,,,,05,001,2025-11-15_17h51.57.697,The Self-Relevance Effect on Selective Attention task,,2025.1.1,121.00268976782529,2025-11-15 17h52.05.118218 +0530,
She,other,blue,b,2,2,0,b,1,0.483803416005685,None,0,2,2,26,23.62924216699321,,,,,,,,,,,,23.62007704199641,23.62924216699321,24.113798416990903,24.113798416990903,24.113798416990903,24.60514204199717,b,1,0.483803416005685,None,,,,05,001,2025-11-15_17h51.57.697,The Self-Relevance Effect on Selective Attention task,,2025.1.1,121.00268976782529,2025-11-15 17h52.05.118218 +0530,
Her,other,blue,b,3,3,1,b,1,0.3530057489988394,None,1,3,3,30,24.6194258339965,,,,,,,,,,,,24.608605375004117,24.6194258339965,25.106591666990425,25.106591666990425,25.106591666990425,25.4659091670037,b,1,0.3530057489988394,None,,,,05,001,2025-11-15_17h51.57.697,The Self-Relevance Effect on Selective Attention task,,2025.1.1,121.00268976782529,2025-11-15 17h52.05.118218 +0530,
Friend,other,yellow,y,4,4,0,y,1,0.34802158299135044,None,0,4,4,29,25.48126429200056,,,,,,,,,,,,25.47225029199035,25.48126429200056,25.963808041997254,25.963808041997254,25.963808041997254,26.315728083995054,y,1,0.34802158299135044,None,,,,05,001,2025-11-15_17h51.57.697,The Self-Relevance Effect on Selective Attention task,,2025.1.1,121.00268976782529,2025-11-15 17h52.05.118218 +0530,
Chair,neutral,blue,b,5,5,0,b,1,0.3059164580045035,None,0,5,5,32,26.329450334000285,,,,,,,,,,,,26.32048483399558,26.329450334000285,26.81363308399159,26.81363308399159,26.81363308399159,27.12148575000174,b,1,0.3059164580045035,None,,,,05,001,2025-11-15_17h51.57.697,The Self-Relevance Effect on Selective Attention task,,2025.1.1,121.00268976782529,2025-11-15 17h52.05.118218 +0530,
Her,other,yellow,y,6,6,0,b,0,0.341756666006404,None,0,6,6,31,27.13557245899574,,,,,,,,,,,,27.125951333990088,27.13557245899574,27.622857166992617,27.622857166992617,27.622857166992617,27.9719242919964,b,0,0.341756666006404,None,,,,05,001,2025-11-15_17h51.57.697,The Self-Relevance Effect on Selective Attention task,,2025.1.1,121.00268976782529,2025-11-15 17h52.05.118218 +0530,
My,self ,yellow,y,7,7,0,y,1,0.7475037489930401,None,0,7,7,11,27.986613749992102,,,,,,,,,,,,27.977224959002342,27.986613749992102,28.473070084000938,28.473070084000938,28.473070084000938,29.232575041998643,y,1,0.7475037489930401,None,,,,05,001,2025-11-15_17h51.57.697,The Self-Relevance Effect on Selective Attention task,,2025.1.1,121.00268976782529,2025-11-15 17h52.05.118218 +0530,
