reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
43,50,50,0,0,0,t,2.128422000911087,None,0,0,0,40,0.13481629197485745,,0.12754491693340242,0.13481629197485745,0.9973763329908252,0.9973763329908252,1.1234651249833405,3.5323609998449683,t,2.128422000911087,None,004,001,2025-10-30_14h55.24.512,Delay discounting ,,2025.1.1,121.95574376642463,2025-10-30 14h59.56.359919 +0530,
30,44,36,1,1,0,t,4.731139583978802,None,0,1,1,70,3.552782000042498,,3.5366328328382224,3.552782000042498,4.523766666883603,4.523766666883603,4.550750958034769,9.257894542068243,t,4.731139583978802,None,004,001,2025-10-30_14h55.24.512,Delay discounting ,,2025.1.1,121.95574376642463,2025-10-30 14h59.56.359919 +0530,
48,89,20,2,2,0,l,4.723713500192389,None,0,2,2,20,9.276353833032772,,9.267898624995723,9.276353833032772,10.257530124858022,10.257530124858022,10.273150082910433,14.98558699991554,l,4.723713500192389,None,004,001,2025-10-30_14h55.24.512,Delay discounting ,,2025.1.1,121.95574376642463,2025-10-30 14h59.56.359919 +0530,
74,100,2,3,3,0,l,1.2849622920621186,None,0,3,3,50,15.004807417048141,,14.996208457974717,15.004807417048141,15.98409662488848,15.98409662488848,16.000959124881774,17.275335042038932,l,1.2849622920621186,None,004,001,2025-10-30_14h55.24.512,Delay discounting ,,2025.1.1,121.95574376642463,2025-10-30 14h59.56.359919 +0530,
27,50,21,4,4,0,t,6.188562500989065,None,0,4,4,2,17.288389208028093,,17.2812367498409,17.288389208028093,18.275295458035544,18.275295458035544,18.28415049985051,24.469667166937143,t,6.188562500989065,None,004,001,2025-10-30_14h55.24.512,Delay discounting ,,2025.1.1,121.95574376642463,2025-10-30 14h59.56.359919 +0530,
74,94,54,5,5,0,t,1.2036069999448955,None,0,5,5,81,24.484732332872227,,24.4764935830608,24.484732332872227,25.467769332928583,25.467769332928583,25.473534541903064,26.67544183298014,t,1.2036069999448955,None,004,001,2025-10-30_14h55.24.512,Delay discounting ,,2025.1.1,121.95574376642463,2025-10-30 14h59.56.359919 +0530,
50,57,8,6,6,0,t,1.63456204184331,None,0,6,6,94,26.6902860829141,,26.682244166964665,26.6902860829141,27.674774082843214,27.674774082843214,27.68486574990675,29.319663791917264,t,1.63456204184331,None,004,001,2025-10-30_14h55.24.512,Delay discounting ,,2025.1.1,121.95574376642463,2025-10-30 14h59.56.359919 +0530,
48,91,33,7,7,0,t,3.792329499963671,None,0,7,7,31,29.334957832936198,,29.326593207893893,29.334957832936198,30.317553750006482,30.317553750006482,30.323390583042055,34.11988529190421,t,3.792329499963671,None,004,001,2025-10-30_14h55.24.512,Delay discounting ,,2025.1.1,121.95574376642463,2025-10-30 14h59.56.359919 +0530,
25,31,90,8,8,0,t,2.1601358340121806,None,0,8,8,48,34.134957749862224,,34.126554667018354,34.134957749862224,35.118396332953125,35.118396332953125,35.12444662488997,37.28708066698164,t,2.1601358340121806,None,004,001,2025-10-30_14h55.24.512,Delay discounting ,,2025.1.1,121.95574376642463,2025-10-30 14h59.56.359919 +0530,
56,91,38,9,9,0,t,0.614791083149612,None,0,9,9,71,37.30371391703375,,37.29506441694684,37.30371391703375,38.284927875036374,38.284927875036374,38.302066958043724,38.90338966692798,t,0.614791083149612,None,004,001,2025-10-30_14h55.24.512,Delay discounting ,,2025.1.1,121.95574376642463,2025-10-30 14h59.56.359919 +0530,
