word,category,inkColour,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instrText.started,instr_key.started,Instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,Welcome.started,text_2.started,text_2.stopped,Welcome.stopped,ColourNaming.started,fixation.started,fixation.stopped,text.started,key_resp.started,ColourNaming.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,text_3.started,text_3.stopped,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.010881624999456108,0.03166662500007078,0.03166662500007078,21.81797254200501,space,21.776418708002893,None,,,,,,,,,,,,,,,,,,,03,001,2025-11-14_08h01.46.390,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 08h01.58.740584 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,21.818093834008323,21.830024209004478,22.8986153750011,22.816743709001457,,,,,,,,,,,,,,,03,001,2025-11-14_08h01.46.390,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 08h01.58.740584 +0530,
Me,self ,yellow,y,0,0,0,y,1,1.5868342910107458,None,0,0,0,3,22.8986153750011,,,,,,,,,,,,,22.868233042012434,22.8986153750011,23.324361417006003,23.324361417006003,23.324361417006003,24.91825958401023,y,1,1.5868342910107458,None,,,,,03,001,2025-11-14_08h01.46.390,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 08h01.58.740584 +0530,
Wall,neutral,blue,b,1,1,0,b,1,1.2919505829922855,None,0,1,1,44,24.932759084011195,,,,,,,,,,,,,24.923213417001534,24.932759084011195,25.416184292000253,25.416184292000253,25.416184292000253,26.71831808400748,b,1,1.2919505829922855,None,,,,,03,001,2025-11-14_08h01.46.390,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 08h01.58.740584 +0530,
Pencil,neutral,yellow,y,2,2,0,y,1,0.7331452910002554,None,0,2,2,37,26.73285733400553,,,,,,,,,,,,,26.723731834004866,26.73285733400553,27.216043417007313,27.216043417007313,27.216043417007313,27.951476458998513,y,1,0.7331452910002554,None,,,,,03,001,2025-11-14_08h01.46.390,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 08h01.58.740584 +0530,
Personal,self ,yellow,y,3,3,0,y,1,0.8229224989918293,None,0,3,3,13,27.965732875003596,,,,,,,,,,,,,27.95652229200641,27.965732875003596,28.44935454201186,28.44935454201186,28.44935454201186,29.27437725001073,y,1,0.8229224989918293,None,,,,,03,001,2025-11-14_08h01.46.390,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 08h01.58.740584 +0530,
Pencil,neutral,yellow,y,4,4,1,y,1,0.8307074580079643,None,1,4,4,37,29.306813667004462,,,,,,,,,,,,,29.27894329201081,29.306813667004462,29.775560000009136,29.775560000009136,29.775560000009136,30.618336125000496,y,1,0.8307074580079643,None,,,,,03,001,2025-11-14_08h01.46.390,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 08h01.58.740584 +0530,
Them,other,yellow,y,5,5,0,y,1,0.6001631239923881,None,0,5,5,21,30.632186167000327,,,,,,,,,,,,,30.6230393750011,30.632186167000327,31.11615370900836,31.11615370900836,31.11615370900836,31.71826316700026,y,1,0.6001631239923881,None,,,,,03,001,2025-11-14_08h01.46.390,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 08h01.58.740584 +0530,
Personal,self ,blue,b,6,6,0,b,1,0.6590198749909177,None,0,6,6,12,31.732572667009663,,,,,,,,,,,,,31.72370529200998,31.732572667009663,32.2161944170075,32.2161944170075,32.2161944170075,32.88500354200369,b,1,0.6590198749909177,None,,,,,03,001,2025-11-14_08h01.46.390,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 08h01.58.740584 +0530,
Table,neutral,yellow,y,7,7,0,y,1,0.7431436670012772,None,0,7,7,35,32.89810295900679,,,,,,,,,,,,,32.88933795900084,32.89810295900679,33.383205792008084,33.383205792008084,33.383205792008084,34.13519404199906,y,1,0.7431436670012772,None,,,,,03,001,2025-11-14_08h01.46.390,The Self-Relevance Effect on Selective Attention task,,2025.1.1,None,2025-11-14 08h01.58.740584 +0530,
