thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.2544444444444444)],[np.float64(0.2)],[1],[0],[0],[1.3746109169442207],['target'],0,0,0,0,0.0381330419331789,,10,0.02342145796865225,0.0381330419331789,0.0381330419331789,0.02343991701491177,1.3981839169282466,[np.float64(0.2544444444444444)],[np.float64(0.2)],[1],[0],[0],[1.3746109169442207],['target'],01,001,2025-09-30_14h56.34.984,Visual Search Experiment,,2025.1.1,121.00964374751636,2025-09-30 14h56.41.494476 +0530,
1,0,1,[np.float64(0.03111111111111111)],[np.float64(0.19333333333333333)],[1],[0],[0],[0.9750185830052942],['target'],1,0,1,0,1.426240624859929,,10,1.4154029169585556,1.426240624859929,1.426240624859929,0.017058208119124174,2.390547916991636,[np.float64(0.03111111111111111)],[np.float64(0.19333333333333333)],[1],[0],[0],[0.9750185830052942],['target'],01,001,2025-09-30_14h56.34.984,Visual Search Experiment,,2025.1.1,121.00964374751636,2025-09-30 14h56.41.494476 +0530,
2,0,2,[np.float64(0.39111111111111113)],[np.float64(-0.3411111111111111)],[1],[0],[0],[1.4769912080373615],['target'],2,0,2,0,2.4062139578163624,,5,2.398799082962796,2.4062139578163624,2.4062139578163624,0.00814000004902482,3.8758964168373495,[np.float64(0.39111111111111113)],[np.float64(-0.3411111111111111)],[1],[0],[0],[1.4769912080373615],['target'],01,001,2025-09-30_14h56.34.984,Visual Search Experiment,,2025.1.1,121.00964374751636,2025-09-30 14h56.41.494476 +0530,
3,0,3,[np.float64(-0.3)],[np.float64(0.06888888888888889)],[1],[0],[0],[1.0832280840259045],['target'],3,0,3,0,3.902352208038792,,10,3.892028332920745,3.902352208038792,3.902352208038792,0.016035584034398198,4.975366374943405,[np.float64(-0.3)],[np.float64(0.06888888888888889)],[1],[0],[0],[1.0832280840259045],['target'],01,001,2025-09-30_14h56.34.984,Visual Search Experiment,,2025.1.1,121.00964374751636,2025-09-30 14h56.41.494476 +0530,
4,0,4,[np.float64(0.31777777777777777)],[np.float64(-0.22)],[1],[0],[0],[1.3258262921590358],['target'],4,0,4,0,4.992653457913548,,5,4.984734792029485,4.992653457913548,4.992653457913548,0.009254334028810263,6.310667791869491,[np.float64(0.31777777777777777)],[np.float64(-0.22)],[1],[0],[0],[1.3258262921590358],['target'],01,001,2025-09-30_14h56.34.984,Visual Search Experiment,,2025.1.1,121.00964374751636,2025-09-30 14h56.41.494476 +0530,
5,0,5,[np.float64(-0.06777777777777778)],[np.float64(-0.28888888888888886)],[1],[0],[0],[1.1193620830308646],['target'],5,0,5,0,6.328103167004883,,5,6.319385582813993,6.328103167004883,6.328103167004883,0.008640875108540058,7.438913166988641,[np.float64(-0.06777777777777778)],[np.float64(-0.28888888888888886)],[1],[0],[0],[1.1193620830308646],['target'],01,001,2025-09-30_14h56.34.984,Visual Search Experiment,,2025.1.1,121.00964374751636,2025-09-30 14h56.41.494476 +0530,
6,0,6,[np.float64(-0.12222222222222222)],[np.float64(-0.2611111111111111)],[1],[0],[0],[0.9851639589760453],['target'],6,0,6,0,7.465761707862839,,10,7.455514332978055,7.465761707862839,7.465761707862839,0.016509917099028826,8.440782374935225,[np.float64(-0.12222222222222222)],[np.float64(-0.2611111111111111)],[1],[0],[0],[0.9851639589760453],['target'],01,001,2025-09-30_14h56.34.984,Visual Search Experiment,,2025.1.1,121.00964374751636,2025-09-30 14h56.41.494476 +0530,
7,0,7,[np.float64(0.04666666666666667)],[np.float64(0.46444444444444444)],[1],[0],[0],[1.3902231249958277],['target'],7,0,7,0,8.456611332949251,,5,8.44920749985613,8.456611332949251,8.456611332949251,0.008314167149364948,9.839527582982555,[np.float64(0.04666666666666667)],[np.float64(0.46444444444444444)],[1],[0],[0],[1.3902231249958277],['target'],01,001,2025-09-30_14h56.34.984,Visual Search Experiment,,2025.1.1,121.00964374751636,2025-09-30 14h56.41.494476 +0530,
8,0,8,[np.float64(0.4888888888888889)],[np.float64(0.18555555555555556)],[1],[0],[0],[3.253505499800667],['target'],8,0,8,0,9.866851249942556,,10,9.85620304197073,9.866851249942556,9.866851249942556,0.016583875054493546,13.109868000028655,[np.float64(0.4888888888888889)],[np.float64(0.18555555555555556)],[1],[0],[0],[3.253505499800667],['target'],01,001,2025-09-30_14h56.34.984,Visual Search Experiment,,2025.1.1,121.00964374751636,2025-09-30 14h56.41.494476 +0530,
9,0,9,[np.float64(0.3011111111111111)],[np.float64(-0.21)],[1],[0],[0],[1.6072732089087367],['target'],9,0,9,0,13.126279499847442,,5,13.11889904201962,13.126279499847442,13.126279499847442,0.008843125076964498,14.726280416827649,[np.float64(0.3011111111111111)],[np.float64(-0.21)],[1],[0],[0],[1.6072732089087367],['target'],01,001,2025-09-30_14h56.34.984,Visual Search Experiment,,2025.1.1,121.00964374751636,2025-09-30 14h56.41.494476 +0530,
