pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trial_2.started,fixation_2.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation_2.stopped,probe_2.started,key_resp_2.started,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.6891937921755016,None,,,,,0,0,0,0,,,,,0.056385082891210914,,0.04894604184664786,0.056385082891210914,1.020146207883954,1.020146207883954,1.020146207883954,1.020146207883954,1.0462977499701083,2.0007541249506176,2.0007541249506176,3.0120572079904377,x,1,0.6891937921755016,None,,,,,,,,,,,,,,,01,001,2025-10-02_16h13.32.496,Motor sequence learning,,2025.1.1,None,2025-10-02 16h13.42.323703 +0530,
150,v,1,1,0,v,1,0.5395633329171687,None,,,,,0,1,1,1,,,,,3.0178050419781357,,3.0123407079372555,3.0178050419781357,4.007620124844834,4.007620124844834,4.007620124844834,4.007620124844834,4.013895499985665,5.0082567918580025,5.0082567918580025,5.549418832873926,v,1,0.5395633329171687,None,,,,,,,,,,,,,,,01,001,2025-10-02_16h13.32.496,Motor sequence learning,,2025.1.1,None,2025-10-02 16h13.42.323703 +0530,
50,c,2,2,0,c,1,0.2934841248206794,None,,,,,0,2,2,2,,,,,5.57474529184401,,5.549935499904677,5.57474529184401,6.549260332947597,6.549260332947597,6.549260332947597,6.549260332947597,6.564475042046979,7.54936262499541,7.54936262499541,7.850361707853153,c,1,0.2934841248206794,None,,,,,,,,,,,,,,,01,001,2025-10-02_16h13.32.496,Motor sequence learning,,2025.1.1,None,2025-10-02 16h13.42.323703 +0530,
-150,z,3,3,0,z,1,0.9160204578656703,None,,,,,0,3,3,3,,,,,7.861206499859691,,7.850927707972005,7.861206499859691,8.850375749869272,8.850375749869272,8.850375749869272,8.850375749869272,8.857732167001814,9.850033167051151,9.850033167051151,10.776723667047918,z,1,0.9160204578656703,None,,,,,,,,,,,,,,,01,001,2025-10-02_16h13.32.496,Motor sequence learning,,2025.1.1,None,2025-10-02 16h13.42.323703 +0530,
-50,x,4,0,1,x,1,0.7900279581081122,None,,,,,1,0,4,0,,,,,10.785411708056927,,10.777268457924947,10.785411708056927,11.775610332842916,11.775610332842916,11.775610332842916,11.775610332842916,11.782343917060643,12.775038457941264,12.775038457941264,13.567779917037115,x,1,0.7900279581081122,None,,,,,,,,,,,,,,,01,001,2025-10-02_16h13.32.496,Motor sequence learning,,2025.1.1,None,2025-10-02 16h13.42.323703 +0530,
150,v,5,1,1,v,1,0.4184542919974774,None,,,,,1,1,5,1,,,,,13.57730908296071,,13.568328749854118,13.57730908296071,14.566663458012044,14.566663458012044,14.566663458012044,14.566663458012044,14.575189957860857,15.565596249885857,15.565596249885857,15.993357833009213,v,1,0.4184542919974774,None,,,,,,,,,,,,,,,01,001,2025-10-02_16h13.32.496,Motor sequence learning,,2025.1.1,None,2025-10-02 16h13.42.323703 +0530,
50,c,6,2,1,c,1,0.24683149997144938,None,,,,,1,2,6,2,,,,,16.00283604185097,,15.993966416921467,16.00283604185097,16.99236520798877,16.99236520798877,16.99236520798877,16.99236520798877,16.998789625009522,17.992455000057817,17.992455000057817,18.24360741698183,c,1,0.24683149997144938,None,,,,,,,,,,,,,,,01,001,2025-10-02_16h13.32.496,Motor sequence learning,,2025.1.1,None,2025-10-02 16h13.42.323703 +0530,
-150,z,7,3,1,z,1,0.28183683287352324,None,,,,,1,3,7,3,,,,,18.25231849984266,,18.24405337497592,18.25231849984266,19.24207133287564,19.24207133287564,19.24207133287564,19.24207133287564,19.24859800003469,20.242336957948282,20.242336957948282,20.52683458290994,z,1,0.28183683287352324,None,,,,,,,,,,,,,,,01,001,2025-10-02_16h13.32.496,Motor sequence learning,,2025.1.1,None,2025-10-02 16h13.42.323703 +0530,
-50,x,8,0,2,x,1,0.2997504170052707,None,,,,,2,0,8,0,,,,,20.535593916894868,,20.527442957973108,20.535593916894868,21.525869417004287,21.525869417004287,21.525869417004287,21.525869417004287,21.531452958006412,22.525541707873344,22.525541707873344,22.82725670794025,x,1,0.2997504170052707,None,,,,,,,,,,,,,,,01,001,2025-10-02_16h13.32.496,Motor sequence learning,,2025.1.1,None,2025-10-02 16h13.42.323703 +0530,
150,v,9,1,2,v,1,0.33938075019977987,None,,,,,2,1,9,1,,,,,22.837152916938066,,22.82785345800221,22.837152916938066,23.82597754197195,23.82597754197195,23.82597754197195,23.82597754197195,23.832956166937947,24.825912917032838,24.825912917032838,25.175697332946584,v,1,0.33938075019977987,None,,,,,,,,,,,,,,,01,001,2025-10-02_16h13.32.496,Motor sequence learning,,2025.1.1,None,2025-10-02 16h13.42.323703 +0530,
