word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.009546666988171637,0.018114666978362948,1.0041601669800002,,,,,,,,,,,,,,,02,001,2025-08-26_10h33.25.732,stroop_task,,2025.1.1,122.25605154921972,2025-08-26 10h33.43.709874 +0530,
BLUE,red,I,r,0,0,0,r,1,1.0077872489928268,None,0,0,0,2,1.0364237499888986,,,,,1.027327082992997,1.0364237499888986,1.4971268749795854,1.4971268749795854,1.4971268749795854,2.7396711249893997,r,1,1.0077872489928268,None,,,,,02,001,2025-08-26_10h33.25.732,stroop_task,,2025.1.1,122.25605154921972,2025-08-26 10h33.43.709874 +0530,
BLUE,blue,C,b,1,1,0,b,1,0.5063357070030179,None,0,1,1,3,2.753531207999913,,,,,2.74011858299491,2.753531207999913,3.2398503329895902,3.2398503329895902,3.2398503329895902,3.748879749997286,b,1,0.5063357070030179,None,,,,,02,001,2025-08-26_10h33.25.732,stroop_task,,2025.1.1,122.25605154921972,2025-08-26 10h33.43.709874 +0530,
RED,blue,I,b,2,2,0,b,1,0.7620734160009306,None,0,2,2,1,3.7665925420005806,,,,,3.757127374992706,3.7665925420005806,4.2519694170041475,4.2519694170041475,4.2519694170041475,5.037160624982789,b,1,0.7620734160009306,None,,,,,02,001,2025-08-26_10h33.25.732,stroop_task,,2025.1.1,122.25605154921972,2025-08-26 10h33.43.709874 +0530,
RED,red,C,r,3,3,0,r,1,0.3812548319983762,None,0,3,3,0,5.04698758298764,,,,,5.037798000004841,5.04698758298764,5.530099458002951,5.530099458002951,5.530099458002951,5.915265291987453,r,1,0.3812548319983762,None,,,,,02,001,2025-08-26_10h33.25.732,stroop_task,,2025.1.1,122.25605154921972,2025-08-26 10h33.43.709874 +0530,
BLUE,red,I,r,4,0,1,b,0,0.3476673739787657,None,1,0,4,2,5.929127957992023,,,,,5.9201065419765655,5.929127957992023,6.4134859170007985,6.4134859170007985,6.4134859170007985,6.764255499991123,b,0,0.3476673739787657,None,,,,,02,001,2025-08-26_10h33.25.732,stroop_task,,2025.1.1,122.25605154921972,2025-08-26 10h33.43.709874 +0530,
BLUE,blue,C,b,5,1,1,b,1,0.7574109570123255,None,1,1,5,3,6.774556082993513,,,,,6.765217707987176,6.774556082993513,7.25664541698643,7.25664541698643,7.25664541698643,8.025800791976508,b,1,0.7574109570123255,None,,,,,02,001,2025-08-26_10h33.25.732,stroop_task,,2025.1.1,122.25605154921972,2025-08-26 10h33.43.709874 +0530,
RED,blue,I,b,6,2,1,b,1,0.43970758200157434,None,1,2,6,1,8.035245249979198,,,,,8.029393457982223,8.035245249979198,8.524419583001873,8.524419583001873,8.524419583001873,8.976870582991978,b,1,0.43970758200157434,None,,,,,02,001,2025-08-26_10h33.25.732,stroop_task,,2025.1.1,122.25605154921972,2025-08-26 10h33.43.709874 +0530,
RED,red,C,r,7,3,1,r,1,0.40390991599997506,None,1,3,7,0,8.984218666999368,,,,,8.977832499978831,8.984218666999368,9.473426207987359,9.473426207987359,9.473426207987359,9.881901499989908,r,1,0.40390991599997506,None,,,,,02,001,2025-08-26_10h33.25.732,stroop_task,,2025.1.1,122.25605154921972,2025-08-26 10h33.43.709874 +0530,
RED,blue,I,b,8,0,2,b,1,0.2910128739895299,None,2,0,8,1,9.893262291996507,,,,,9.882946999976411,9.893262291996507,10.380212749994826,10.380212749994826,10.380212749994826,10.682021207991056,b,1,0.2910128739895299,None,,,,,02,001,2025-08-26_10h33.25.732,stroop_task,,2025.1.1,122.25605154921972,2025-08-26 10h33.43.709874 +0530,
