Study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
book,0,0,0,1.0844444444444445,2.453821999952197,,,,,,,,,,,,0,0,0,0,,,,,0.05431683408096433,,0.028536041965708137,0.05431683408096433,0.05431683408096433,2.4916124590672553,1.0844444444444445,2.453821999952197,,,,,,,,,,,,,,,01,001,2025-10-14_17h55.20.490,Word priming experiment,,2025.1.1,119.6741873721561,2025-10-14 17h55.31.053893 +0530,
marble,1,1,0,1.0888888888888888,0.619383999845013,,,,,,,,,,,,0,1,1,3,,,,,2.505765875102952,,2.496005041990429,2.505765875102952,2.505765875102952,3.1246096671093255,1.0888888888888888,0.619383999845013,,,,,,,,,,,,,,,01,001,2025-10-14_17h55.20.490,Word priming experiment,,2025.1.1,119.6741873721561,2025-10-14 17h55.31.053893 +0530,
T-shirt,2,2,0,1.0888888888888888,0.6438487081322819,,,,,,,,,,,,0,2,2,7,,,,,3.138796041952446,,3.1291245000902563,3.138796041952446,3.138796041952446,3.789131292141974,1.0888888888888888,0.6438487081322819,,,,,,,,,,,,,,,01,001,2025-10-14_17h55.20.490,Word priming experiment,,2025.1.1,119.6741873721561,2025-10-14 17h55.31.053893 +0530,
Cruise,3,3,0,1.991111111111111,1.732831790810451,,,,,,,,,,,,0,3,3,11,,,,,3.801424042088911,,3.791746250120923,3.801424042088911,3.801424042088911,5.533816917100921,1.991111111111111,1.732831790810451,,,,,,,,,,,,,,,01,001,2025-10-14_17h55.20.490,Word priming experiment,,2025.1.1,119.6741873721561,2025-10-14 17h55.31.053893 +0530,
Poster,4,4,0,1,1.1281619172077626,,,,,,,,,,,,0,4,4,14,,,,,5.546723542036489,,5.537355833919719,5.546723542036489,5.546723542036489,6.674720166949555,1,1.1281619172077626,,,,,,,,,,,,,,,01,001,2025-10-14_17h55.20.490,Word priming experiment,,2025.1.1,119.6741873721561,2025-10-14 17h55.31.053893 +0530,
cushion,5,5,0,1.0222222222222221,2.5217123329639435,,,,,,,,,,,,0,5,5,1,,,,,6.688045750139281,,6.6778478340711445,6.688045750139281,6.688045750139281,9.209137625060976,1.0222222222222221,2.5217123329639435,,,,,,,,,,,,,,,01,001,2025-10-14_17h55.20.490,Word priming experiment,,2025.1.1,119.6741873721561,2025-10-14 17h55.31.053893 +0530,
Pastry,6,6,0,1.0266666666666666,0.49736183299683034,,,,,,,,,,,,0,6,6,9,,,,,9.222371084149927,,9.212720334064215,9.222371084149927,9.222371084149927,9.722155750030652,1.0266666666666666,0.49736183299683034,,,,,,,,,,,,,,,01,001,2025-10-14_17h55.20.490,Word priming experiment,,2025.1.1,119.6741873721561,2025-10-14 17h55.31.053893 +0530,
Chart,7,7,0,1.0266666666666666,0.6354872500523925,,,,,,,,,,,,0,7,7,6,,,,,9.732645125128329,,9.724617542000487,9.732645125128329,9.732645125128329,10.372395084006712,1.0266666666666666,0.6354872500523925,,,,,,,,,,,,,,,01,001,2025-10-14_17h55.20.490,Word priming experiment,,2025.1.1,119.6741873721561,2025-10-14 17h55.31.053893 +0530,
board,8,8,0,1.0355555555555556,0.5739038330502808,,,,,,,,,,,,0,8,8,4,,,,,10.384865584084764,,10.3755487089511,10.384865584084764,10.384865584084764,10.958903583930805,1.0355555555555556,0.5739038330502808,,,,,,,,,,,,,,,01,001,2025-10-14_17h55.20.490,Word priming experiment,,2025.1.1,119.6741873721561,2025-10-14 17h55.31.053893 +0530,
Case,9,9,0,1.0444444444444445,0.5650708749890327,,,,,,,,,,,,0,9,9,10,,,,,10.971481458982453,,10.961090834112838,10.971481458982453,10.971481458982453,11.538955334108323,1.0444444444444445,0.5650708749890327,,,,,,,,,,,,,,,01,001,2025-10-14_17h55.20.490,Word priming experiment,,2025.1.1,119.6741873721561,2025-10-14 17h55.31.053893 +0530,
Laptop,10,10,0,1.048888888888889,0.5805732919834554,,,,,,,,,,,,0,10,10,5,,,,,11.551577750127763,,11.542641417123377,11.551577750127763,11.551577750127763,12.132861708989367,1.048888888888889,0.5805732919834554,,,,,,,,,,,,,,,01,001,2025-10-14_17h55.20.490,Word priming experiment,,2025.1.1,119.6741873721561,2025-10-14 17h55.31.053893 +0530,
