thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.11)],[np.float64(0.37555555555555553)],[1],[0],[0],[1.4729864159598947],['target'],0,0,0,0,0.0375924170948565,,10,0.02335312496870756,0.0375924170948565,0.0375924170948565,0.023363417014479637,1.496482958085835,[np.float64(-0.11)],[np.float64(0.37555555555555553)],[1],[0],[0],[1.4729864159598947],['target'],02,001,2025-09-30_15h24.47.363,Visual Search Experiment,,2025.1.1,None,2025-09-30 15h24.53.844655 +0530,
1,0,1,[np.float64(-0.31222222222222223)],[np.float64(-0.11666666666666667)],[1],[0],[0],[1.2122396668419242],['target'],1,0,1,0,1.523751667002216,,10,1.5127816670574248,1.523751667002216,1.523751667002216,0.016126625007018447,2.7251303330995142,[np.float64(-0.31222222222222223)],[np.float64(-0.11666666666666667)],[1],[0],[0],[1.2122396668419242],['target'],02,001,2025-09-30_15h24.47.363,Visual Search Experiment,,2025.1.1,None,2025-09-30 15h24.53.844655 +0530,
2,0,2,[np.float64(-0.49333333333333335)],[np.float64(-0.21666666666666667)],[1],[0],[0],[1.1413462918717414],['target'],2,0,2,0,2.7411384580191225,,5,2.7339780000038445,2.7411384580191225,2.7411384580191225,0.008735790848731995,3.875427542021498,[np.float64(-0.49333333333333335)],[np.float64(-0.21666666666666667)],[1],[0],[0],[1.1413462918717414],['target'],02,001,2025-09-30_15h24.47.363,Visual Search Experiment,,2025.1.1,None,2025-09-30 15h24.53.844655 +0530,
3,0,3,[np.float64(0.11555555555555555)],[np.float64(0.47555555555555556)],[1],[0],[0],[1.6242632500361651],['target'],3,0,3,0,3.902772583067417,,10,3.892478542169556,3.902772583067417,3.902772583067417,0.016953499987721443,5.516879874980077,[np.float64(0.11555555555555555)],[np.float64(0.47555555555555556)],[1],[0],[0],[1.6242632500361651],['target'],02,001,2025-09-30_15h24.47.363,Visual Search Experiment,,2025.1.1,None,2025-09-30 15h24.53.844655 +0530,
4,0,4,[np.float64(0.16777777777777778)],[np.float64(-0.2922222222222222)],[1],[0],[0],[2.311820291914046],['target'],4,0,4,0,5.532509292010218,,5,5.525180125143379,5.532509292010218,5.532509292010218,0.008176416158676147,7.837201582966372,[np.float64(0.16777777777777778)],[np.float64(-0.2922222222222222)],[1],[0],[0],[2.311820291914046],['target'],02,001,2025-09-30_15h24.47.363,Visual Search Experiment,,2025.1.1,None,2025-09-30 15h24.53.844655 +0530,
5,0,5,[np.float64(0.10111111111111111)],[np.float64(0.46555555555555556)],[1],[0],[0],[1.043592874892056],['target'],5,0,5,0,7.854106750106439,,5,7.846567083150148,7.854106750106439,7.854106750106439,0.009256666991859674,8.890266292029992,[np.float64(0.10111111111111111)],[np.float64(0.46555555555555556)],[1],[0],[0],[1.043592874892056],['target'],02,001,2025-09-30_15h24.47.363,Visual Search Experiment,,2025.1.1,None,2025-09-30 15h24.53.844655 +0530,
6,0,6,"[np.float64(-0.07666666666666666), np.float64(0.0811111111111111)]","[np.float64(0.23666666666666666), np.float64(0.22777777777777777)]","[1, 1]","[0, 0]","[0, 0]","[1.3325372501276433, 2.1662282911129296]","[None, 'target']",6,0,6,0,8.916271666996181,,10,8.906370457960293,8.916271666996181,8.916271666996181,0.016023417003452778,11.072769625112414,"[np.float64(-0.07666666666666666), np.float64(0.0811111111111111)]","[np.float64(0.23666666666666666), np.float64(0.22777777777777777)]","[1, 1]","[0, 0]","[0, 0]","[1.3325372501276433, 2.1662282911129296]","[None, 'target']",02,001,2025-09-30_15h24.47.363,Visual Search Experiment,,2025.1.1,None,2025-09-30 15h24.53.844655 +0530,
7,0,7,[np.float64(-0.37222222222222223)],[np.float64(0.017777777777777778)],[1],[0],[0],[1.1593632500153035],['target'],7,0,7,0,11.090002833167091,,5,11.081507167080417,11.090002833167091,11.090002833167091,0.008600708097219467,12.240981375100091,[np.float64(-0.37222222222222223)],[np.float64(0.017777777777777778)],[1],[0],[0],[1.1593632500153035],['target'],02,001,2025-09-30_15h24.47.363,Visual Search Experiment,,2025.1.1,None,2025-09-30 15h24.53.844655 +0530,
8,0,8,[np.float64(-0.39444444444444443)],[np.float64(0.38)],[1],[0],[0],[1.1972750830464065],['target'],8,0,8,0,12.268585875164717,,10,12.257872708141804,12.268585875164717,12.268585875164717,0.01679312507621944,13.455251417122781,[np.float64(-0.39444444444444443)],[np.float64(0.38)],[1],[0],[0],[1.1972750830464065],['target'],02,001,2025-09-30_15h24.47.363,Visual Search Experiment,,2025.1.1,None,2025-09-30 15h24.53.844655 +0530,
9,0,9,[np.float64(0.34555555555555556)],[np.float64(-0.17222222222222222)],[1],[0],[0],[1.5178071670234203],['target'],9,0,9,0,13.48158033308573,,10,13.471378874965012,13.48158033308573,13.48158033308573,0.016026000026613474,14.989334958139807,[np.float64(0.34555555555555556)],[np.float64(-0.17222222222222222)],[1],[0],[0],[1.5178071670234203],['target'],02,001,2025-09-30_15h24.47.363,Visual Search Experiment,,2025.1.1,None,2025-09-30 15h24.53.844655 +0530,
