reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
24,47,31,0,0,0,l,3.1578721259720623,None,0,0,0,42,0.10603583394549787,,0.098148874938488,0.10603583394549787,1.0031929169781506,1.0031929169781506,1.0996976669412106,4.482658124994487,l,3.1578721259720623,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
11,30,7,1,1,0,l,1.6347296258900315,None,0,1,1,0,4.5037100000772625,,4.487102709012106,4.5037100000772625,5.474388292059302,5.474388292059302,5.499761209124699,7.117775209015235,l,1.6347296258900315,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
38,50,59,2,2,0,t,3.935760417021811,None,0,2,2,21,7.151502042077482,,7.12817187490873,7.151502042077482,8.115522749954835,8.115522749954835,8.149604917038232,12.057397209107876,t,3.935760417021811,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
60,71,20,3,3,0,l,1.3844434171915054,None,0,3,3,27,12.073912000050768,,12.065152958966792,12.073912000050768,13.057703209109604,13.057703209109604,13.06605041702278,14.45116312499158,l,1.3844434171915054,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
26,44,98,4,4,0,t,1.24913400108926,None,0,4,4,8,14.467655791901052,,14.457558959024027,14.467655791901052,15.442115375073627,15.442115375073627,15.466623625019565,16.701986792031676,t,1.24913400108926,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
64,77,72,5,5,0,t,1.607385457959026,None,0,5,5,69,16.71801554202102,,16.708542792126536,16.71801554202102,17.699837459018454,17.699837459018454,17.716926167020574,19.317325625102967,t,1.607385457959026,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
61,77,48,6,6,0,t,1.6932482079137117,None,0,6,6,99,19.32978374999948,,19.32178316707723,19.32978374999948,20.307959666941315,20.307959666941315,20.322176167042926,22.008403999963775,t,1.6932482079137117,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
30,38,7,7,7,0,l,0.7549584170337766,None,0,7,7,46,22.024153500096872,,22.015243083937094,22.024153500096872,22.99929316691123,22.99929316691123,23.023103417130187,23.758436874952167,l,0.7549584170337766,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
53,78,67,8,8,0,l,6.241870582802221,None,0,8,8,25,23.77374695893377,,23.76542808394879,23.77374695893377,24.75712308404036,24.75712308404036,24.766243333928287,31.002044042106718,l,6.241870582802221,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
43,55,99,9,9,0,t,2.208051751134917,None,0,9,9,75,31.019141749944538,,31.00916908401996,31.019141749944538,31.999782459111884,31.999782459111884,32.01708162506111,34.219217624980956,t,2.208051751134917,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
78,80,162,10,10,0,t,0.5828367918729782,None,0,10,10,6,34.23604795895517,,34.22664749994874,34.23604795895517,35.21629766700789,35.21629766700789,35.23361833393574,35.80221049999818,t,0.5828367918729782,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
43,83,48,11,11,0,l,2.0059853338170797,None,0,11,11,60,35.818964834092185,,35.80957137490623,35.818964834092185,36.80001454195008,36.80001454195008,36.816308750072494,38.80804108409211,l,2.0059853338170797,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
67,75,119,12,12,0,t,2.184220624854788,None,0,12,12,5,38.82345212507062,,38.81432258407585,38.82345212507062,39.799884374951944,39.799884374951944,39.81759124994278,41.99549562507309,t,2.184220624854788,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
36,62,21,13,13,0,l,0.9779277080669999,None,0,13,13,91,42.00686708395369,,42.00086912512779,42.00686708395369,42.991100459126756,42.991100459126756,43.00125704193488,43.97565954201855,l,0.9779277080669999,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
36,62,33,14,14,0,l,2.951262667076662,None,0,14,14,98,43.99085495900363,,43.982503209030256,43.99085495900363,44.974809542065486,44.974809542065486,44.983257666928694,47.93607395910658,l,2.951262667076662,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
79,90,70,15,15,0,t,2.9908032089006156,None,0,15,15,9,47.95249491697177,,47.94285691692494,47.95249491697177,48.934348250040784,48.934348250040784,48.950410458957776,51.93600012501702,t,2.9908032089006156,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
21,32,16,16,16,0,t,3.2415890840347856,None,0,16,16,12,51.95202312502079,,51.94222104200162,51.95202312502079,52.93379562511109,52.93379562511109,52.95052900002338,56.18557525007054,t,3.2415890840347856,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
41,82,73,17,17,0,t,2.0801427920814604,None,0,17,17,14,56.2017428339459,,56.19234354211949,56.2017428339459,57.183571124915034,57.183571124915034,57.201820499962196,59.27008345909417,t,2.0801427920814604,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
52,80,57,18,18,0,t,0.5762596668209881,None,0,18,18,38,59.28661879198626,,59.27757358411327,59.28661879198626,60.267205209005624,60.267205209005624,60.28518008394167,60.8529897921253,t,0.5762596668209881,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
43,64,14,19,19,0,t,2.051999167073518,None,0,19,19,90,60.87039966695011,,60.861220750026405,60.87039966695011,61.850436500040814,61.850436500040814,61.868355334037915,63.909105625003576,t,2.051999167073518,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
28,53,89,20,20,0,t,2.5178732508793473,None,0,20,20,74,63.924258375074714,,63.915814334061,63.924258375074714,64.90064375009388,64.90064375009388,64.91869774996303,67.4199348341208,t,2.5178732508793473,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
40,73,54,21,21,0,t,3.0927937920205295,None,0,21,21,65,67.43572079204023,,67.42574237496592,67.43572079204023,68.41776083409786,68.41776083409786,68.43445254210383,71.52056400012225,t,3.0927937920205295,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
45,58,18,22,22,0,l,0.7326332509983331,None,0,22,22,78,71.53783879196271,,71.52810187498108,71.53783879196271,72.5179995840881,72.5179995840881,72.5344137090724,73.2531176249031,l,0.7326332509983331,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
27,41,67,23,23,0,t,0.8156530011910945,None,0,23,23,96,73.26908404193819,,73.25943366694264,73.26908404193819,74.25113749993034,74.25113749993034,74.26897408394143,75.06989687494934,t,0.8156530011910945,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
42,73,1,24,24,0,l,0.5630022920668125,None,0,24,24,51,75.0863810419105,,75.07714562490582,75.0863810419105,76.06879404210486,76.06879404210486,76.07578141707927,76.63645979203284,l,0.5630022920668125,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
47,67,80,25,25,0,t,1.4500815828796476,None,0,25,25,17,76.65207975008525,,76.6427822499536,76.65207975008525,77.6276737919543,77.6276737919543,77.64118195907213,79.08633295912296,t,1.4500815828796476,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
24,36,89,26,26,0,t,0.6392697510309517,None,0,26,26,39,79.10239550005645,,79.09278229204938,79.10239550005645,80.0767737920396,80.0767737920396,80.10209187492728,80.71984625002369,t,0.6392697510309517,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
23,38,80,27,27,0,t,0.4492017920129001,None,0,27,27,83,80.73532254202291,,80.72588512510993,80.73532254202291,81.71777270897292,81.71777270897292,81.72435208410025,82.17018466698937,t,0.4492017920129001,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
36,50,86,28,28,0,t,0.561934000113979,None,0,28,28,10,82.18702258402482,,82.17716050008312,82.18702258402482,83.1678645000793,83.1678645000793,83.18501216708682,83.73717587511055,t,0.561934000113979,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
31,37,48,29,29,0,t,1.622359916800633,None,0,29,29,52,83.75312054203823,,83.74380791699514,83.75312054203823,84.73453583405353,84.73453583405353,84.75240783393383,86.36002820893191,t,1.622359916800633,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
38,74,66,30,30,0,t,1.7946359999477863,None,0,30,30,80,86.37539487495087,,86.36731066694483,86.37539487495087,87.35129695897922,87.35129695897922,87.36928987503052,89.15443312493153,t,1.7946359999477863,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
58,88,19,31,31,0,l,1.8212953337933868,None,0,31,31,26,89.1704183339607,,89.16089195897803,89.1704183339607,90.15169741702266,90.15169741702266,90.16932516708039,91.97690420900472,l,1.8212953337933868,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
24,33,9,32,32,0,l,0.7974200830794871,None,0,32,32,57,91.99341279198416,,91.98427112493664,91.99341279198416,92.97763745905831,92.97763745905831,92.98566437512636,93.7765391250141,l,0.7974200830794871,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
15,30,61,33,33,0,l,3.1275600001681596,None,0,33,33,84,93.79145954200067,,93.78270054212771,93.79145954200067,94.77639200002886,94.77639200002886,94.78523104195483,97.91973562492058,l,3.1275600001681596,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
19,32,92,34,34,0,t,1.8992657091002911,None,0,34,34,37,97.93563687498681,,97.92266208399087,97.93563687498681,98.90983245894313,98.90983245894313,98.92437774990685,100.8210319171194,t,1.8992657091002911,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
33,59,70,35,35,0,t,0.9366220419760793,None,0,35,35,16,100.83707741694525,,100.82769754203036,100.83707741694525,101.81853691698052,101.81853691698052,101.83638733392581,102.76031666691415,t,0.9366220419760793,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
33,40,33,36,36,0,t,2.5147915000561625,None,0,36,36,87,102.77634891704656,,102.76764883403666,102.77634891704656,103.76038920902647,103.76038920902647,103.76861141691916,106.27789500006475,t,2.5147915000561625,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
49,89,42,37,37,0,l,2.622360876062885,None,0,37,37,44,106.29279058403336,,106.28449558396824,106.29279058403336,107.27813783404417,107.27813783404417,107.2855977921281,109.90423670900054,l,2.622360876062885,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
37,62,36,38,38,0,l,1.6358932920265943,None,0,38,38,22,109.9205791670829,,109.91083183395676,109.9205791670829,110.90239941701293,110.90239941701293,110.91998116695322,112.54413495911285,l,1.6358932920265943,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
27,51,97,39,39,0,t,1.8747387500479817,None,0,39,39,13,112.55876358412206,,112.55005941702984,112.55876358412206,113.5355347499717,113.5355347499717,113.55346175003797,115.42137166694738,t,1.8747387500479817,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
40,55,62,40,40,0,t,1.7561785839498043,None,0,40,40,3,115.43857687502168,,115.42924216692336,115.43857687502168,116.41927195899189,116.41927195899189,116.4368404999841,118.17802987503819,t,1.7561785839498043,None,002,001,2025-10-29_13h31.14.030,Delay discounting ,,2025.1.1,118.50564354797649,2025-10-29 13h31.26.759436 +0530,
