Study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Police,0,0,0,1.0177777777777777,1.8276829589158297,,,,,,,,,,,,0,0,0,12,,,,,0.07692274986766279,,0.05118204187601805,0.07692274986766279,0.07692274986766279,1.8880705828778446,1.0177777777777777,1.8276829589158297,,,,,,,,,,,,,,,05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
Poster,1,1,0,1.0177777777777777,0.9308199579827487,,,,,,,,,,,,0,1,1,14,,,,,1.9015597079414874,,1.8917645830661058,1.9015597079414874,1.9015597079414874,2.835293874843046,1.0177777777777777,0.9308199579827487,,,,,,,,,,,,,,,05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
board,2,2,0,1.0177777777777777,0.7682617919053882,,,,,,,,,,,,0,2,2,4,,,,,2.8485166248865426,,2.839183332864195,2.8485166248865426,2.8485166248865426,3.618121000006795,1.0177777777777777,0.7682617919053882,,,,,,,,,,,,,,,05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
Pastry,3,3,0,1,1.7689983339514583,,,,,,,,,,,,0,3,3,9,,,,,3.6304050830658525,,3.621360999997705,3.6304050830658525,3.6304050830658525,5.40225649997592,1,1.7689983339514583,,,,,,,,,,,,,,,05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
mouse,4,4,0,1,0.9745982498861849,,,,,,,,,,,,0,4,4,8,,,,,5.413571082986891,,5.404562250012532,5.413571082986891,5.413571082986891,6.388172041857615,1,0.9745982498861849,,,,,,,,,,,,,,,05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
Cruise,5,5,0,2.1333333333333333,1.3323280829936266,,,,,,,,,,,,0,5,5,11,,,,,6.400958916870877,,6.390462666982785,6.400958916870877,6.400958916870877,7.735060208011419,2.1333333333333333,1.3323280829936266,,,,,,,,,,,,,,,05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
Laptop,6,6,0,1.1155555555555556,1.2496560828294605,,,,,,,,,,,,0,6,6,5,,,,,7.747464249841869,,7.738637249916792,7.747464249841869,7.747464249841869,8.997063542017713,1.1155555555555556,1.2496560828294605,,,,,,,,,,,,,,,05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
cushion,7,7,0,2.1955555555555555,2.11054079211317,,,,,,,,,,,,0,7,7,1,,,,,9.009937916882336,,9.00094599998556,9.009937916882336,9.009937916882336,11.135030332952738,2.1955555555555555,2.11054079211317,,,,,,,,,,,,,,,05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
marble,8,8,0,1.0844444444444445,1.7250388748943806,,,,,,,,,,,,0,8,8,3,,,,,11.151293041883036,,11.137357542058453,11.151293041883036,11.151293041883036,12.871647666906938,1.0844444444444445,1.7250388748943806,,,,,,,,,,,,,,,05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
Chart,9,9,0,1.0844444444444445,0.5879932909738272,,,,,,,,,,,,0,9,9,6,,,,,12.884546916931868,,12.87401616689749,12.884546916931868,12.884546916931868,13.485340500017628,1.0844444444444445,0.5879932909738272,,,,,,,,,,,,,,,05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
Keys,10,10,0,1.0888888888888888,0.4855309999547899,,,,,,,,,,,,0,10,10,13,,,,,13.501443541841581,,13.488504832843319,13.501443541841581,13.501443541841581,13.98501112498343,1.0888888888888888,0.4855309999547899,,,,,,,,,,,,,,,05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
phone,11,11,0,1.0933333333333333,0.45797875011339784,,,,,,,,,,,,0,11,11,2,,,,,13.995393124874681,,13.987330625066534,13.995393124874681,13.995393124874681,14.468991792062297,1.0933333333333333,0.45797875011339784,,,,,,,,,,,,,,,05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
book,12,12,0,1.0977777777777777,0.4185824589803815,,,,,,,,,,,,0,12,12,0,,,,,14.485813749954104,,14.471069291932508,14.485813749954104,14.485813749954104,14.90204770793207,1.0977777777777777,0.4185824589803815,,,,,,,,,,,,,,,05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
T-shirt,13,13,0,1.0977777777777777,1.4340571670327336,,,,,,,,,,,,0,13,13,7,,,,,14.914248500019312,,14.905619333032519,14.914248500019312,14.914248500019312,16.352665500016883,1.0977777777777777,1.4340571670327336,,,,,,,,,,,,,,,05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
Case,14,14,0,1.0977777777777777,0.6581493329722434,,,,,,,,,,,,0,14,14,10,,,,,16.36387254204601,,16.354885666863993,16.36387254204601,16.36387254204601,17.022505542030558,1.0977777777777777,0.6581493329722434,,,,,,,,,,,,,,,05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
,0,0,0,,,_oo_,Book,old,book,[np.float64(-0.03777777777777778)],[np.float64(-0.31222222222222223)],[1],[0],[0],[2.7136992081068456],['submit_text'],,,,,0,0,0,13,17.042788124876097,,,,,,,,17.02969937492162,17.042788124876097,17.042788124876097,17.042788124876097,0.007191792130470276,19.743577542016283,book,[np.float64(-0.03777777777777778)],[np.float64(-0.31222222222222223)],[1],[0],[0],[2.7136992081068456],['submit_text'],05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
,1,1,0,,,K_y_,Keys,old,Keys,[np.float64(0.11222222222222222)],[np.float64(-0.29333333333333333)],[1],[0],[0],[4.2351339580491185],['submit_text'],,,,,0,1,1,8,19.75563449994661,,,,,,,,19.74560408294201,19.75563449994661,19.75563449994661,19.75563449994661,0.001857041148468852,23.980946749914438,Keys,[np.float64(0.11222222222222222)],[np.float64(-0.29333333333333333)],[1],[0],[0],[4.2351339580491185],['submit_text'],05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
,2,2,0,,,P_li_e,Police,old,Police,[np.float64(0.027777777777777776)],[np.float64(-0.30777777777777776)],[1],[0],[0],[2.293166791088879],['submit_text'],,,,,0,2,2,7,23.997243707999587,,,,,,,,23.984120541950688,23.997243707999587,23.997243707999587,23.997243707999587,0.0030247920658439398,26.27751183300279,Police,[np.float64(0.027777777777777776)],[np.float64(-0.30777777777777776)],[1],[0],[0],[2.293166791088879],['submit_text'],05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
,3,3,0,,,p_nc_l,Pencil,new,pencil,[np.float64(0.035555555555555556)],[np.float64(-0.2866666666666667)],[1],[0],[0],[4.597740666940808],['submit_text'],,,,,0,3,3,16,26.290602958062664,,,,,,,,26.27976854192093,26.290602958062664,26.290602958062664,26.290602958062664,0.0021202501375228167,30.877705208025873,pencil,[np.float64(0.035555555555555556)],[np.float64(-0.2866666666666667)],[1],[0],[0],[4.597740666940808],['submit_text'],05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
,4,4,0,,,P_as_tr_,Pastry,old,Pastry,"[np.float64(0.058888888888888886), np.float64(0.05)]","[np.float64(-0.25555555555555554), np.float64(-0.28444444444444444)]","[1, 1]","[0, 0]","[0, 0]","[4.330300749978051, 5.080392583971843]","[None, 'submit_text']",,,,,0,4,4,4,30.89056754205376,,,,,,,,30.880421000067145,30.89056754205376,30.89056754205376,30.89056754205376,0.0026104170829057693,35.96101400000043,Pastry,"[np.float64(0.058888888888888886), np.float64(0.05)]","[np.float64(-0.25555555555555554), np.float64(-0.28444444444444444)]","[1, 1]","[0, 0]","[0, 0]","[4.330300749978051, 5.080392583971843]","[None, 'submit_text']",05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
,5,5,0,,,_o_rd,Board,old,board,[np.float64(0.07111111111111111)],[np.float64(-0.29555555555555557)],[1],[0],[0],[6.011868207948282],['submit_text'],,,,,0,5,5,10,35.973833417054266,,,,,,,,35.96335058286786,35.973833417054266,35.973833417054266,35.973833417054266,0.0021895829122513533,41.97547629196197,board,[np.float64(0.07111111111111111)],[np.float64(-0.29555555555555557)],[1],[0],[0],[6.011868207948282],['submit_text'],05,001,2025-10-16_12h16.02.712,Word priming experiment,,2025.1.1,121.89504099753101,2025-10-16 12h16.09.143278 +0530,
