thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.10555555555555556)],[np.float64(-0.43333333333333335)],[1],[0],[0],[2.257252666866407],['target'],0,0,0,0,0.029874542029574513,,5,0.019111125031486154,0.029874542029574513,0.029874542029574513,0.01912545901723206,2.27649962506257,[np.float64(-0.10555555555555556)],[np.float64(-0.43333333333333335)],[1],[0],[0],[2.257252666866407],['target'],03,001,2025-09-30_15h30.44.941,Visual Search Experiment,,2025.1.1,119.93271809847084,2025-09-30 15h39.11.692787 +0530,
1,0,1,[np.float64(0.052222222222222225)],[np.float64(-0.4855555555555556)],[1],[0],[0],[0.9204413751140237],['target'],1,0,1,0,2.30356533289887,,10,2.293106999946758,2.30356533289887,2.30356533289887,0.01641137502156198,3.2137401669751853,[np.float64(0.052222222222222225)],[np.float64(-0.4855555555555556)],[1],[0],[0],[0.9204413751140237],['target'],03,001,2025-09-30_15h30.44.941,Visual Search Experiment,,2025.1.1,119.93271809847084,2025-09-30 15h39.11.692787 +0530,
2,0,2,[np.float64(-0.3688888888888889)],[np.float64(0.45444444444444443)],[1],[0],[0],[2.871911499882117],['target'],2,0,2,0,3.2419713749550283,,10,3.231815499952063,3.2419713749550283,3.2419713749550283,0.017736083129420877,6.103835500078276,[np.float64(-0.3688888888888889)],[np.float64(0.45444444444444443)],[1],[0],[0],[2.871911499882117],['target'],03,001,2025-09-30_15h30.44.941,Visual Search Experiment,,2025.1.1,119.93271809847084,2025-09-30 15h39.11.692787 +0530,
3,0,3,[np.float64(0.13666666666666666)],[np.float64(-0.2877777777777778)],[1],[0],[0],[1.208003417123109],['target'],3,0,3,0,6.120435541961342,,5,6.1123154170345515,6.120435541961342,6.120435541961342,0.008366208989173174,7.320423291996121,[np.float64(0.13666666666666666)],[np.float64(-0.2877777777777778)],[1],[0],[0],[1.208003417123109],['target'],03,001,2025-09-30_15h30.44.941,Visual Search Experiment,,2025.1.1,119.93271809847084,2025-09-30 15h39.11.692787 +0530,
4,0,4,[np.float64(-0.21777777777777776)],[np.float64(0.3811111111111111)],[1],[0],[0],[1.7078716668765992],['target'],4,0,4,0,7.337967166909948,,5,7.329452875070274,7.337967166909948,7.337967166909948,0.008957959013059735,9.037500042002648,[np.float64(-0.21777777777777776)],[np.float64(0.3811111111111111)],[1],[0],[0],[1.7078716668765992],['target'],03,001,2025-09-30_15h30.44.941,Visual Search Experiment,,2025.1.1,119.93271809847084,2025-09-30 15h39.11.692787 +0530,
5,0,5,[np.float64(0.4177777777777778)],[np.float64(-0.06555555555555556)],[1],[0],[0],[2.0598058751784265],['target'],5,0,5,0,9.05356041691266,,5,9.04603683296591,9.05356041691266,9.05356041691266,0.008444916922599077,11.105946500087157,[np.float64(0.4177777777777778)],[np.float64(-0.06555555555555556)],[1],[0],[0],[2.0598058751784265],['target'],03,001,2025-09-30_15h30.44.941,Visual Search Experiment,,2025.1.1,119.93271809847084,2025-09-30 15h39.11.692787 +0530,
6,0,6,[np.float64(-0.37333333333333335)],[np.float64(0.2866666666666667)],[1],[0],[0],[1.9452801251318306],['target'],6,0,6,0,11.133549999911338,,10,11.122711082920432,11.133549999911338,11.133549999911338,0.016673707868903875,13.068095125025138,[np.float64(-0.37333333333333335)],[np.float64(0.2866666666666667)],[1],[0],[0],[1.9452801251318306],['target'],03,001,2025-09-30_15h30.44.941,Visual Search Experiment,,2025.1.1,119.93271809847084,2025-09-30 15h39.11.692787 +0530,
7,0,7,[np.float64(-0.18666666666666668)],[np.float64(0.30444444444444446)],[1],[0],[0],[1.555577291874215],['target'],7,0,7,0,13.08491662493907,,5,13.076788750011474,13.08491662493907,13.08491662493907,0.008589083794504404,14.632481666980311,[np.float64(-0.18666666666666668)],[np.float64(0.30444444444444446)],[1],[0],[0],[1.555577291874215],['target'],03,001,2025-09-30_15h30.44.941,Visual Search Experiment,,2025.1.1,119.93271809847084,2025-09-30 15h39.11.692787 +0530,
8,0,8,[np.float64(-0.3477777777777778)],[np.float64(-0.28888888888888886)],[1],[0],[0],[1.4561300000641495],['target'],8,0,8,0,14.660379916895181,,10,14.649561583064497,14.660379916895181,14.660379916895181,0.0169728328473866,16.105803000042215,[np.float64(-0.3477777777777778)],[np.float64(-0.28888888888888886)],[1],[0],[0],[1.4561300000641495],['target'],03,001,2025-09-30_15h30.44.941,Visual Search Experiment,,2025.1.1,119.93271809847084,2025-09-30 15h39.11.692787 +0530,
9,0,9,[np.float64(0.16111111111111112)],[np.float64(-0.03888888888888889)],[1],[0],[0],[0.9894575411453843],['target'],9,0,9,0,16.12234037509188,,5,16.11505754198879,16.12234037509188,16.12234037509188,0.00914600002579391,17.104621124919504,[np.float64(0.16111111111111112)],[np.float64(-0.03888888888888889)],[1],[0],[0],[0.9894575411453843],['target'],03,001,2025-09-30_15h30.44.941,Visual Search Experiment,,2025.1.1,119.93271809847084,2025-09-30 15h39.11.692787 +0530,
