thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.14)],[np.float64(-0.4211111111111111)],[1],[0],[0],[1.6732931670267135],['target'],0,0,0,0,0.029347416944801807,,5,0.017838041996583343,0.029347416944801807,0.029347416944801807,0.017849791096523404,1.691261458909139,[np.float64(0.14)],[np.float64(-0.4211111111111111)],[1],[0],[0],[1.6732931670267135],['target'],04,001,2025-09-30_15h44.42.394,Visual Search Experiment,,2025.1.1,121.77394189617732,2025-09-30 15h44.48.940391 +0530,
1,0,1,[np.float64(-0.06777777777777778)],[np.float64(0.04)],[1],[0],[0],[1.4655480000656098],['target'],1,0,1,0,1.7082834169268608,,5,1.7003784589469433,1.7082834169268608,1.7082834169268608,0.008970333030447364,3.166030874941498,[np.float64(-0.06777777777777778)],[np.float64(0.04)],[1],[0],[0],[1.4655480000656098],['target'],04,001,2025-09-30_15h44.42.394,Visual Search Experiment,,2025.1.1,121.77394189617732,2025-09-30 15h44.48.940391 +0530,
2,0,2,[np.float64(-0.43666666666666665)],[np.float64(-0.14222222222222222)],[1],[0],[0],[1.2656576668377966],['target'],2,0,2,0,3.1941826248075813,,10,3.183476708829403,3.1941826248075813,3.1941826248075813,0.01735445810481906,4.449240458896384,[np.float64(-0.43666666666666665)],[np.float64(-0.14222222222222222)],[1],[0],[0],[1.2656576668377966],['target'],04,001,2025-09-30_15h44.42.394,Visual Search Experiment,,2025.1.1,121.77394189617732,2025-09-30 15h44.48.940391 +0530,
3,0,3,[np.float64(-0.3988888888888889)],[np.float64(-0.3988888888888889)],[1],[0],[0],[1.067942125024274],['target'],3,0,3,0,4.475752999773249,,10,4.465234374860302,4.475752999773249,4.475752999773249,0.015882875071838498,5.533281166804954,[np.float64(-0.3988888888888889)],[np.float64(-0.3988888888888889)],[1],[0],[0],[1.067942125024274],['target'],04,001,2025-09-30_15h44.42.394,Visual Search Experiment,,2025.1.1,121.77394189617732,2025-09-30 15h44.48.940391 +0530,
4,0,4,[np.float64(-0.40444444444444444)],[np.float64(-0.3055555555555556)],[1],[0],[0],[0.8992175420280546],['target'],4,0,4,0,5.560879499884322,,10,5.550146749941632,5.560879499884322,5.560879499884322,0.016756458906456828,6.449471666943282,[np.float64(-0.40444444444444444)],[np.float64(-0.3055555555555556)],[1],[0],[0],[0.8992175420280546],['target'],04,001,2025-09-30_15h44.42.394,Visual Search Experiment,,2025.1.1,121.77394189617732,2025-09-30 15h44.48.940391 +0530,
5,0,5,[np.float64(0.24222222222222223)],[np.float64(-0.12222222222222222)],[1],[0],[0],[1.1442453328054398],['target'],5,0,5,0,6.4656651669647545,,5,6.4581152917817235,6.4656651669647545,6.4656651669647545,0.008549332851544023,7.602486583869904,[np.float64(0.24222222222222223)],[np.float64(-0.12222222222222222)],[1],[0],[0],[1.1442453328054398],['target'],04,001,2025-09-30_15h44.42.394,Visual Search Experiment,,2025.1.1,121.77394189617732,2025-09-30 15h44.48.940391 +0530,
6,0,6,[np.float64(-0.43)],[np.float64(-0.2644444444444444)],[1],[0],[0],[1.1575893338304013],['target'],6,0,6,0,7.61846720892936,,5,7.611139416927472,7.61846720892936,7.61846720892936,0.008574749808758497,8.768886916805059,[np.float64(-0.43)],[np.float64(-0.2644444444444444)],[1],[0],[0],[1.1575893338304013],['target'],04,001,2025-09-30_15h44.42.394,Visual Search Experiment,,2025.1.1,121.77394189617732,2025-09-30 15h44.48.940391 +0530,
7,0,7,[np.float64(-0.3622222222222222)],[np.float64(-0.22444444444444445)],[1],[0],[0],[0.7983574999962002],['target'],7,0,7,0,8.79671287490055,,10,8.785778624936938,8.79671287490055,8.79671287490055,0.01679391600191593,9.584239541785792,[np.float64(-0.3622222222222222)],[np.float64(-0.22444444444444445)],[1],[0],[0],[0.7983574999962002],['target'],04,001,2025-09-30_15h44.42.394,Visual Search Experiment,,2025.1.1,121.77394189617732,2025-09-30 15h44.48.940391 +0530,
8,0,8,[np.float64(0.4577777777777778)],[np.float64(-0.24444444444444444)],[1],[0],[0],[1.5593112499918789],['target'],8,0,8,0,9.600512124830857,,5,9.592945916811004,9.600512124830857,9.600512124830857,0.00859662494622171,11.152360416948795,[np.float64(0.4577777777777778)],[np.float64(-0.24444444444444444)],[1],[0],[0],[1.5593112499918789],['target'],04,001,2025-09-30_15h44.42.394,Visual Search Experiment,,2025.1.1,121.77394189617732,2025-09-30 15h44.48.940391 +0530,
9,0,9,[np.float64(-0.4711111111111111)],[np.float64(-0.4677777777777778)],[1],[0],[0],[2.24004108319059],['target'],9,0,9,0,11.169282124843448,,5,11.16101474990137,11.169282124843448,11.169282124843448,0.00855804211460054,13.401168708922341,[np.float64(-0.4711111111111111)],[np.float64(-0.4677777777777778)],[1],[0],[0],[2.24004108319059],['target'],04,001,2025-09-30_15h44.42.394,Visual Search Experiment,,2025.1.1,121.77394189617732,2025-09-30 15h44.48.940391 +0530,
