pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trial_2.started,fixation_2.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation_2.stopped,probe_2.started,key_resp_2.started,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.6740229160059243,None,,,,,0,0,0,0,,,,,0.06296133389696479,,0.05533654196187854,0.06296133389696479,1.011409749975428,1.011409749975428,1.011409749975428,1.011409749975428,1.0550535840447992,1.9990595418494195,1.9990595418494195,3.082445584004745,x,1,0.6740229160059243,None,,,,,,,,,,,,,,,02,001,2025-10-02_16h42.00.311,Motor sequence learning,,2025.1.1,121.77987378745522,2025-10-02 16h42.19.938929 +0530,
150,v,1,1,0,v,1,0.38074950012378395,None,,,,,0,1,1,1,,,,,3.114851166959852,,3.0826589588541538,3.114851166959852,4.073623749893159,4.073623749893159,4.073623749893159,4.073623749893159,4.104729333892465,5.073557291878387,5.073557291878387,5.456826708978042,v,1,0.38074950012378395,None,,,,,,,,,,,,,,,02,001,2025-10-02_16h42.00.311,Motor sequence learning,,2025.1.1,121.77987378745522,2025-10-02 16h42.19.938929 +0530,
50,c,2,2,0,c,1,0.969706041039899,None,,,,,0,2,2,2,,,,,5.4682479170151055,,5.457440708996728,5.4682479170151055,6.456631999928504,6.456631999928504,6.456631999928504,6.456631999928504,6.464547625044361,7.45778354187496,7.45778354187496,8.432712625013664,c,1,0.969706041039899,None,,,,,,,,,,,,,,,02,001,2025-10-02_16h42.00.311,Motor sequence learning,,2025.1.1,121.77987378745522,2025-10-02 16h42.19.938929 +0530,
-150,z,3,3,0,z,1,0.28778208303265274,None,,,,,0,3,3,3,,,,,8.443482583854347,,8.433533916948363,8.443482583854347,9.430983749916777,9.430983749916777,9.430983749916777,9.430983749916777,9.437417416833341,10.432599708903581,10.432599708903581,10.723479999927804,z,1,0.28778208303265274,None,,,,,,,,,,,,,,,02,001,2025-10-02_16h42.00.311,Motor sequence learning,,2025.1.1,121.77987378745522,2025-10-02 16h42.19.938929 +0530,
-50,x,4,0,1,x,1,1.7280710828490555,None,,,,,1,0,4,0,,,,,10.747862041927874,,10.724119917023927,10.747862041927874,11.723625124897808,11.723625124897808,11.723625124897808,11.723625124897808,11.739170583896339,12.721185249974951,12.721185249974951,14.457375708967447,x,1,1.7280710828490555,None,,,,,,,,,,,,,,,02,001,2025-10-02_16h42.00.311,Motor sequence learning,,2025.1.1,121.77987378745522,2025-10-02 16h42.19.938929 +0530,
150,v,5,1,1,v,1,0.6609807920176536,None,,,,,1,1,5,1,,,,,14.469040625030175,,14.458294708980247,14.469040625030175,15.457117917016149,15.457117917016149,15.457117917016149,15.457117917016149,15.465581167023629,16.448506084037945,16.448506084037945,17.116616749903187,v,1,0.6609807920176536,None,,,,,,,,,,,,,,,02,001,2025-10-02_16h42.00.311,Motor sequence learning,,2025.1.1,121.77987378745522,2025-10-02 16h42.19.938929 +0530,
50,c,6,2,1,c,1,0.5133238330017775,None,,,,,1,2,6,2,,,,,17.127676042029634,,17.117241583997384,17.127676042029634,18.115018291864544,18.115018291864544,18.115018291864544,18.115018291864544,18.122727209003642,19.115183624904603,19.115183624904603,19.63331508403644,c,1,0.5133238330017775,None,,,,,,,,,,,,,,,02,001,2025-10-02_16h42.00.311,Motor sequence learning,,2025.1.1,121.77987378745522,2025-10-02 16h42.19.938929 +0530,
-150,z,7,3,1,z,1,0.3034103340469301,None,,,,,1,3,7,3,,,,,19.644254083978012,,19.634060541866347,19.644254083978012,20.62407562485896,20.62407562485896,20.62407562485896,20.62407562485896,20.639991666888818,21.632210624869913,21.632210624869913,21.939492292003706,z,1,0.3034103340469301,None,,,,,,,,,,,,,,,02,001,2025-10-02_16h42.00.311,Motor sequence learning,,2025.1.1,121.77987378745522,2025-10-02 16h42.19.938929 +0530,
-50,x,8,0,2,x,1,0.8328574579209089,None,,,,,2,0,8,0,,,,,21.94923641695641,,21.93994174990803,21.94923641695641,22.938884584000334,22.938884584000334,22.938884584000334,22.938884584000334,22.938884584000334,23.931687499862164,23.931687499862164,24.766844833968207,x,1,0.8328574579209089,None,,,,,,,,,,,,,,,02,001,2025-10-02_16h42.00.311,Motor sequence learning,,2025.1.1,121.77987378745522,2025-10-02 16h42.19.938929 +0530,
150,v,9,1,2,v,1,0.5404342080000788,None,,,,,2,1,9,1,,,,,24.776967291953042,,24.767510208999738,24.776967291953042,25.76517308386974,25.76517308386974,25.76517308386974,25.76517308386974,25.772374541964382,26.765252041863278,26.765252041863278,27.312050791922957,v,1,0.5404342080000788,None,,,,,,,,,,,,,,,02,001,2025-10-02_16h42.00.311,Motor sequence learning,,2025.1.1,121.77987378745522,2025-10-02 16h42.19.938929 +0530,
