pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trial_2.started,fixation_2.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation_2.stopped,probe_2.started,key_resp_2.started,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.9179830001667142,None,,,,,0,0,0,0,,,,,0.05273516708984971,,0.04423416708596051,0.05273516708984971,1.0108106250409037,1.0108106250409037,1.0108106250409037,1.0108106250409037,1.0507998331449926,1.995053708087653,1.995053708087653,4.23049212503247,x,1,1.9179830001667142,None,,,,,,,,,,,,,,,04,001,2025-10-02_17h08.01.984,Motor sequence learning,,2025.1.1,120.49463066226396,2025-10-02 17h08.11.709960 +0530,
150,v,1,1,0,v,1,1.0647127921693027,None,,,,,0,1,1,1,,,,,4.246126207988709,,4.23077387502417,4.246126207988709,5.226381625048816,5.226381625048816,5.226381625048816,5.226381625048816,5.241458417149261,6.226320042042062,6.226320042042062,7.292560667032376,v,1,1.0647127921693027,None,,,,,,,,,,,,,,,04,001,2025-10-02_17h08.01.984,Motor sequence learning,,2025.1.1,120.49463066226396,2025-10-02 17h08.11.709960 +0530,
50,c,2,2,0,c,1,0.6186587500851601,None,,,,,0,2,2,2,,,,,7.302495042094961,,7.293030166998506,7.302495042094961,8.293558042030782,8.293558042030782,8.293558042030782,8.293558042030782,8.301878375001252,9.284217500127852,9.284217500127852,9.909656499978155,c,1,0.6186587500851601,None,,,,,,,,,,,,,,,04,001,2025-10-02_17h08.01.984,Motor sequence learning,,2025.1.1,120.49463066226396,2025-10-02 17h08.11.709960 +0530,
-150,z,3,3,0,z,1,0.309648958966136,None,,,,,0,3,3,3,,,,,9.919679749989882,,9.910179500002414,9.919679749989882,10.909779875073582,10.909779875073582,10.909779875073582,10.909779875073582,10.917526208097115,11.909217375097796,11.909217375097796,12.22596220811829,z,1,0.309648958966136,None,,,,,,,,,,,,,,,04,001,2025-10-02_17h08.01.984,Motor sequence learning,,2025.1.1,120.49463066226396,2025-10-02 17h08.11.709960 +0530,
-50,x,4,0,1,x,1,0.2684183749370277,None,,,,,1,0,4,0,,,,,12.2344949580729,,12.226464624982327,12.2344949580729,13.226556500187144,13.226556500187144,13.226556500187144,13.226556500187144,13.226556500187144,14.225556292105466,14.225556292105466,14.502314708195627,x,1,0.2684183749370277,None,,,,,,,,,,,,,,,04,001,2025-10-02_17h08.01.984,Motor sequence learning,,2025.1.1,120.49463066226396,2025-10-02 17h08.11.709960 +0530,
150,v,5,1,1,v,1,0.3260702909901738,None,,,,,1,1,5,1,,,,,14.511938667157665,,14.502876750193536,14.511938667157665,15.501020000083372,15.501020000083372,15.501020000083372,15.501020000083372,15.508632458047941,16.500966374995187,16.500966374995187,16.835666708182544,v,1,0.3260702909901738,None,,,,,,,,,,,,,,,04,001,2025-10-02_17h08.01.984,Motor sequence learning,,2025.1.1,120.49463066226396,2025-10-02 17h08.11.709960 +0530,
50,c,6,2,1,c,1,1.0118136669043452,None,,,,,1,2,6,2,,,,,16.845798042137176,,16.83628841699101,16.845798042137176,17.834416542202234,17.834416542202234,17.834416542202234,17.834416542202234,17.841685542138293,18.834434624994174,18.834434624994174,19.85252650012262,c,1,1.0118136669043452,None,,,,,,,,,,,,,,,04,001,2025-10-02_17h08.01.984,Motor sequence learning,,2025.1.1,120.49463066226396,2025-10-02 17h08.11.709960 +0530,
-150,z,7,3,1,z,1,0.29340224992483854,None,,,,,1,3,7,3,,,,,19.861322208074853,,19.85303679201752,19.861322208074853,20.85121254203841,20.85121254203841,20.85121254203841,20.85121254203841,20.85892525012605,21.851722958032042,21.851722958032042,22.152604875154793,z,1,0.29340224992483854,None,,,,,,,,,,,,,,,04,001,2025-10-02_17h08.01.984,Motor sequence learning,,2025.1.1,120.49463066226396,2025-10-02 17h08.11.709960 +0530,
-50,x,8,0,2,x,1,0.7729272909928113,None,,,,,2,0,8,0,,,,,22.161966625135392,,22.15316683310084,22.161966625135392,23.151183958165348,23.151183958165348,23.151183958165348,23.151183958165348,23.15898466715589,24.151196708204225,24.151196708204225,24.92609770805575,x,1,0.7729272909928113,None,,,,,,,,,,,,,,,04,001,2025-10-02_17h08.01.984,Motor sequence learning,,2025.1.1,120.49463066226396,2025-10-02 17h08.11.709960 +0530,
150,v,9,1,2,c,0,0.6433069577906281,None,,,,,2,1,9,1,,,,,24.935705667128786,,24.92651087511331,24.935705667128786,25.917855167062953,25.917855167062953,25.917855167062953,25.917855167062953,25.934518583118916,26.91799750016071,26.91799750016071,27.569392916979268,c,0,0.6433069577906281,None,,,,,,,,,,,,,,,04,001,2025-10-02_17h08.01.984,Motor sequence learning,,2025.1.1,120.49463066226396,2025-10-02 17h08.11.709960 +0530,
50,c,10,2,2,c,1,0.3736600838601589,None,,,,,2,2,10,2,,,,,27.578339292202145,,27.569912417093292,27.578339292202145,28.56813508318737,28.56813508318737,28.56813508318737,28.56813508318737,28.57580720819533,29.567490458022803,29.567490458022803,29.943022958002985,c,1,0.3736600838601589,None,,,,,,,,,,,,,,,04,001,2025-10-02_17h08.01.984,Motor sequence learning,,2025.1.1,120.49463066226396,2025-10-02 17h08.11.709960 +0530,
-150,z,11,3,2,z,1,0.24451462482102215,None,,,,,2,3,11,3,,,,,29.970189250074327,,29.943539208034053,29.970189250074327,30.94395750015974,30.94395750015974,30.94395750015974,30.94395750015974,30.968065708177164,31.934811625164002,31.934811625164002,32.18625008314848,z,1,0.24451462482102215,None,,,,,,,,,,,,,,,04,001,2025-10-02_17h08.01.984,Motor sequence learning,,2025.1.1,120.49463066226396,2025-10-02 17h08.11.709960 +0530,
-50,x,12,0,3,x,1,0.8665543340612203,None,,,,,3,0,12,0,,,,,32.19516104203649,,32.186762999976054,32.19516104203649,33.18480695807375,33.18480695807375,33.18480695807375,33.18480695807375,33.192215542076156,34.18477129214443,34.18477129214443,35.052884333068505,x,1,0.8665543340612203,None,,,,,,,,,,,,,,,04,001,2025-10-02_17h08.01.984,Motor sequence learning,,2025.1.1,120.49463066226396,2025-10-02 17h08.11.709960 +0530,
150,v,13,1,3,v,1,0.7925987499766052,None,,,,,3,1,13,1,,,,,35.062416000058874,,35.05337895802222,35.062416000058874,36.05161075014621,36.05161075014621,36.05161075014621,36.05161075014621,36.05957704200409,37.05160429212265,37.05160429212265,37.85329929203726,v,1,0.7925987499766052,None,,,,,,,,,,,,,,,04,001,2025-10-02_17h08.01.984,Motor sequence learning,,2025.1.1,120.49463066226396,2025-10-02 17h08.11.709960 +0530,
50,c,14,2,3,c,1,1.0128579169977456,None,,,,,3,2,14,2,,,,,37.86346308304928,,37.853883458068594,37.86346308304928,38.85187550005503,38.85187550005503,38.85187550005503,38.85187550005503,38.85953095811419,39.851608167169616,39.851608167169616,40.87002529203892,c,1,1.0128579169977456,None,,,,,,,,,,,,,,,04,001,2025-10-02_17h08.01.984,Motor sequence learning,,2025.1.1,120.49463066226396,2025-10-02 17h08.11.709960 +0530,
